127.0.0.1 - - [13/Mar/2024:09:37:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/login.do HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/script/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/netflixbackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /web-study-09/netflixlogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:23 +0900] "GET /web-study-09/join.do HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:37:23 +0900] "GET /web-study-09/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:39:32 +0900] "GET /web-study-09/join.do HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:39:34 +0900] "GET /web-study-09/login.do HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:39:35 +0900] "GET /web-study-09/join.do HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:40:58 +0900] "GET /web-study-09/login.do HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:40:59 +0900] "GET /web-study-09/join.do HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:41:01 +0900] "GET /web-study-09/join.do HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:41:10 +0900] "GET /web-study-09/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:41:10 +0900] "GET /web-study-09/login.do HTTP/1.1" 200 2014
